"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",257.157360478417,0.139860954654562,0.125193868545992,1.11715498753185,0.263928062811938,0.918277932584269
"AT1G01020",159.192832301335,-0.321256767526437,0.102531684769001,-3.13324381872991,0.00172885763774215,0.0991992628770278
"AT1G01030",71.5271592875256,-0.202246459572187,0.187343087450574,-1.07955122510482,0.280342071209326,0.928138402370186
"AT1G01040",897.726642411588,-0.169367025334294,0.0583686928045931,-2.90167583333247,0.0037117241070151,0.150879817462494
"AT1G01050",1105.37416750756,-0.087647580058413,0.0679457365938186,-1.28996438117041,0.197063025401325,0.878346287612713
"AT1G01060",3341.64911304923,-0.0680164368396165,0.627842652564229,-0.108333571416062,0.913731093176918,0.998791870917976
"AT1G01070",293.416791954139,0.251943559496431,0.0812308244833694,3.10157580079729,0.00192493582482414,0.104000140348283
"AT1G01080",1172.09011870177,0.0682420942866542,0.0586922586700111,1.1627103102359,0.244947057052693,0.908673910134522
"AT1G01090",3849.28911179203,0.00376722282609434,0.0500099312043274,0.0753294942698973,0.939952555110276,0.998791870917976
"AT1G01100",4672.61774309502,0.00503326770786369,0.053131201330222,0.0947328044886626,0.92452706092811,0.998791870917976
"AT1G01110",97.303334154986,0.11095258643277,0.16729317086026,0.66322244872415,0.507188096105635,0.996318214029351
"AT1G01120",1153.70339862939,0.0462978570511558,0.117090791808328,0.395401349125242,0.692546713551813,0.998791870917976
"AT1G01130",44.9165955559405,0.0447599903247875,0.181677086513662,0.246371136744433,0.805394947272211,0.998791870917976
"AT1G01140",1645.55535464894,0.0699271805290793,0.161316949936696,0.433476956739636,0.66466830314831,0.998791870917976
"AT1G01150",3.93211953569461,0.0592059233516712,0.564153146664788,0.104946544571612,0.916418225632382,0.998791870917976
"AT1G01160",344.611715511086,-0.120217607335377,0.0763354829645512,-1.57485880309689,0.115289039677094,0.770543720452497
"AT1G01170",384.742275267725,0.0338713548252791,0.0779195816520862,0.434696312622877,0.663782875251287,0.998791870917976
"AT1G01180",164.672851623836,0.220874846858779,0.115336255901779,1.91505130049372,0.0554859615813444,0.594028872927584
"AT1G01190",88.1049512672946,-0.0133793101892941,0.200137985150658,-0.066850429113806,0.946700776539956,0.998791870917976
"AT1G01200",56.5254722719316,0.0719834288127407,0.143039609661954,0.503241227956782,0.614794681806583,0.998603403504204
"AT1G01210",284.930104004795,-0.0116592305709403,0.151838862311704,-0.0767868672975534,0.938793098269378,0.998791870917976
"AT1G01220",512.164053637229,-0.0776491038429908,0.0657001240989558,-1.1818714942766,0.237256694249172,0.904955188174623
"AT1G01225",64.7434531770763,0.13601323740328,0.160421966657081,0.847846714745883,0.39652334307789,0.97379632263954
"AT1G01230",473.166702846714,-0.00154452118197426,0.0900488289213536,-0.0171520407369562,0.986315322501261,0.99940286928483
"AT1G01240",303.200690609996,-0.227510099169259,0.159989879857982,-1.42202806434515,0.155018103968081,0.829434061538466
"AT1G01250",83.2003412631123,-0.277622619606522,0.172471139933266,-1.60967579685472,0.107468651406601,0.750978549334734
"AT1G01260",354.667359960067,0.050202872167994,0.0707674503693393,0.709406258187661,0.478072405286939,0.991597162137095
"AT1G01280",0,NA,NA,NA,NA,NA
"AT1G01290",152.646358717943,-0.0596337858207776,0.103816336693191,-0.574416201922184,0.565686191677019,0.998603403504204
"AT1G01300",1769.85920882862,0.113635126507354,0.102711147848507,1.10635630978401,0.268572328061101,0.920831492759148
"AT1G01305",0,NA,NA,NA,NA,NA
"AT1G01310",1.1088408921871,0.158259909560754,0.999816270125934,0.158288991977316,0.874229081920244,NA
"AT1G01320",7674.67300282781,-0.124294740362212,0.13649666186453,-0.910606447545005,0.362502772106116,0.965237280392255
"AT1G01335",0,NA,NA,NA,NA,NA
"AT1G01340",172.490697210673,0.261921369197263,0.159744490794915,1.6396269310691,0.10108275999036,0.733678984530179
"AT1G01350",389.45440569685,0.0196187416616985,0.0716070365215841,0.273977846517709,0.784101646411259,0.998791870917976
"AT1G01355",3.25857828053476,2.44932863925142,0.779778969815235,3.14105500925701,0.00168340410390142,0.0976237146232614
"AT1G01360",186.136671382335,-0.294163840104812,0.104544942152953,-2.81375486988591,0.00489665521171878,0.180482761439189
"AT1G01370",106.494193763444,-0.0670396577367468,0.129626686754318,-0.517174814965435,0.605034131250803,0.998603403504204
"AT1G01380",19.0131819192295,0.21572756476826,0.236962489288512,0.910386979036174,0.362618462229788,0.965237280392255
"AT1G01390",142.075948946618,0.287190979485728,0.215679665254046,1.33156261693679,0.183003956002027,0.862885541285898
"AT1G01400",0,NA,NA,NA,NA,NA
"AT1G01410",0,NA,NA,NA,NA,NA
"AT1G01420",376.524828679649,-0.521634576060919,0.169975447525166,-3.0688819100399,0.002148615042119,0.11075747249725
"AT1G01430",721.770455970757,-0.0490628939597626,0.148239409803953,-0.330970650953402,0.740666654511025,0.998791870917976
"AT1G01440",370.086909952611,-0.0413216113546606,0.0869373620338845,-0.475303257287186,0.634570837747657,0.998791870917976
"AT1G01450",58.1353233097248,-0.114295115852227,0.1512914117274,-0.75546334419938,0.449971018279778,0.986365010967267
"AT1G01453",10.0847411096905,0.601248696430798,0.412332310722436,1.45816537000791,0.144794966548156,0.815845012263625
"AT1G01460",0.0877402912779719,-0.533296429719558,3.11653965014055,-0.171118127663002,0.864130882285118,NA
"AT1G01470",3837.08313555598,-0.79424445596616,0.33437918923621,-2.37528076367544,0.0175356060686703,0.358799011612169
"AT1G01480",47.5598742677408,0.0325502478430729,0.255469815786694,0.127413282633166,0.898613303900463,0.998791870917976
"AT1G01490",1206.39944356019,0.091008503464119,0.0911913622510414,0.997994779522877,0.318281890107905,0.948666734188938
"AT1G01500",526.149716666805,0.0603267879631339,0.15181312313283,0.397375317220439,0.691090714303453,0.998791870917976
"AT1G01510",990.010307439227,0.0179315238112631,0.047393277635646,0.3783558493067,0.705166261756749,0.998791870917976
"AT1G01520",94.3844401937641,-0.179642529493244,0.525647738201838,-0.341754594260738,0.732535582771658,0.998791870917976
"AT1G01530",0.597629046868008,1.09261543416349,1.64120456376325,0.665739943872774,0.505577337440947,NA
"AT1G01540",1442.1397216293,-0.0603379409199529,0.042700054051209,-1.41306474337459,0.157636688522221,0.834948134416903
"AT1G01550",2380.26148426959,-0.0395211696183372,0.0492779097789432,-0.802005803322952,0.422549601288797,0.981059302228682
"AT1G01560",72.6771320581354,-0.102089040577731,0.181278401259012,-0.563161633535513,0.573324825633338,0.998603403504204
"AT1G01570",37.1755083716665,-0.193416641021202,0.182030025063198,-1.06255350431365,0.287984481975553,0.93430781846158
"AT1G01580",342.882910514691,-0.231577423701014,0.207207233439572,-1.11761264245898,0.263732466907204,0.918277932584269
"AT1G01590",1.20212997674545,0.0876607316029143,1.13077986539805,0.0775223668950426,0.938207998604368,NA
"AT1G01600",304.87128692499,0.0114625306618529,0.0839859910302325,0.136481459839258,0.891440680304352,0.998791870917976
"AT1G01610",1546.41000041097,0.0437984575983906,0.0721682767711787,0.60689349334557,0.543921596472487,0.998276754715119
"AT1G01620",6874.80872372173,0.133060316372306,0.0769736926007127,1.72864665675496,0.0838723538352359,0.698268162229045
"AT1G01630",883.676376867728,0.106801876313964,0.0500949926144363,2.13198706577283,0.0330079098688161,0.481162434774866
"AT1G01640",92.3145971457904,0.169015566673477,0.116212772177751,1.45436309199271,0.145845666887846,0.816070366296152
"AT1G01650",705.054662735657,-0.150639665948863,0.0771411579469633,-1.95277942356572,0.0508457377299652,0.569916980992537
"AT1G01660",19.269159975047,0.260829219572435,0.248327967063442,1.05034170197108,0.293561038573449,0.940776976250798
"AT1G01670",12.2088674886857,0.755646417706543,0.32821237046673,2.30230937557895,0.0213177314770848,0.395368404008517
"AT1G01680",43.6977267201057,-0.106187800240266,0.363488411160445,-0.292135311553013,0.770183168962767,0.998791870917976
"AT1G01690",104.054774456241,0.0404393113395626,0.119893554743771,0.337293455231909,0.735895692911232,0.998791870917976
"AT1G01695",2.94401317850865,0.31147999060182,0.674611956224505,0.461717269799117,0.644284084913632,0.998791870917976
"AT1G01700",31.0073732469513,-0.0728339583583529,0.203691303271975,-0.357570289886666,0.720664915421617,0.998791870917976
"AT1G01710",485.479720935284,-0.0758287790400099,0.0696047501347325,-1.08941959985819,0.275968892091341,0.926160107897672
"AT1G01715",36.9228800646171,-0.134976812071521,0.183553049857666,-0.735355866743631,0.462122792434387,0.988523649879833
"AT1G01720",765.571991799691,-0.182154076844499,0.139507751757367,-1.30569143685508,0.191657511202002,0.875686009105712
"AT1G01725",74.8363070591963,0.0724287857367198,0.148705943764297,0.487060462435326,0.626215484116078,0.998791870917976
"AT1G01730",339.839469710149,0.0827805493937215,0.0886832896479938,0.933440219936566,0.35059272233202,0.959594807032242
"AT1G01740",109.651508760518,-0.182021283234719,0.119208562056536,-1.52691451095931,0.126782270738607,0.789975537366756
"AT1G01750",114.796087492638,0.0305271106548183,0.118278497736545,0.258095184154391,0.796333448193586,0.998791870917976
"AT1G01760",57.8447519400377,0.0240347869673482,0.139392437165861,0.172425329924819,0.863103159989336,0.998791870917976
"AT1G01770",204.987071795945,-0.186730686900735,0.153686613475571,-1.21500944472575,0.224362489174289,0.898333936485649
